feature,setter,first_chip,first_isa_version,H11,H12,H13,H14,H15,H16,H17,H18,H19,unmapped_isa_versions_seen,evidence_at_first_real
MultiPaletteSizeOneLut,SetMultiPaletteSizeOneLut,H19,24,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,REAL,4;10;26;28;31;36,addr=0x20bcf1f40
NEInputTranspose,SetNEInputTranspose,never (through H19),,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,1;4;10;26;28;31;36,
NEKBufBypEn,SetNEKBufBypEn,never (through H19),,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
NEKeepKernel,SetNEKeepKernel,H13,7,n/a,n/a,REAL,NOOP,NOOP,n/a,n/a,n/a,n/a,10,addr=0x20bcce030
NEUsePrevKernel,SetNEUsePrevKernel,H13,7,n/a,n/a,REAL,NOOP,NOOP,n/a,n/a,n/a,n/a,10,addr=0x20bcce050
OutputTranspose,SetOutputTranspose,H13,7,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bccdf88
PEBypass,SetPEBypass,H16,17,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,REAL,26;28;31;36,addr=0x20bcdee08
PEIndexBroadcast,SetPEIndexBroadcast,H15,8,n/a,n/a,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcd05c0
PEIndexTranspose,SetPEIndexTranspose,H15,8,n/a,n/a,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcd05a0
PEOutputCtoW,SetPEOutputCtoW,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc7d0
PEOutputQuantization,SetPEOutputQuantization,H16,17,n/a,n/a,STUB,STUB,STUB,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcde8ac
PESrc1Broadcast,SetPESrc1Broadcast,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc524
PESrc1ReLu,SetPESrc1ReLu,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc4b0
PESrc1Transpose,SetPESrc1Transpose,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc4e4
PESrc2Broadcast,SetPESrc2Broadcast,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc560
PESrc2ReLu,SetPESrc2ReLu,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc4c4
PESrc2Transpose,SetPESrc2Transpose,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccc504
PaletteBlockSize,SetPaletteBlockSize,H17,19,STUB,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bce6c78
PaletteGroupSize,SetPaletteGroupSize,H19,24,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,REAL,4;10;26;28;31;36,addr=0x20bcf1ef4
PassthroughEnable,SetPassthroughEnable,H15,8,STUB,STUB,STUB,STUB,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bccf9fc
PublishBit,SetPublishBit,H19,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,REAL,31;36,addr=0x20bced790
QuantizationOutputZeroOffset,SetQuantizationOutputZeroOffset,H16,17,STUB,STUB,STUB,STUB,STUB,REAL,REAL,REAL,REAL,4;10;26;28;31;36,addr=0x20bce1804
QuantizationSrc1InputOffset,SetQuantizationSrc1InputOffset,H16,17,n/a,n/a,STUB,STUB,STUB,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcde89c
QuantizationSrc2InputOffset,SetQuantizationSrc2InputOffset,H16,17,n/a,n/a,STUB,STUB,STUB,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcde8a4
ReswizzleConfigEn,SetReswizzleConfigEn,never (through H19),,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,1;4;10;26;28;31;36,
ReswizzleConfigInputInterleave,SetReswizzleConfigInputInterleave,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bd6a27c
ReswizzleConfigKernelBitDepth,SetReswizzleConfigKernelBitDepth,H11,5,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;4;10;26;28;31;36,addr=0x20bd6a27c
ReswizzleConfigKernelTranspose,SetReswizzleConfigKernelTranspose,never (through H19),,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,STUB,1;4;10;26;28;31;36,
SplitRowCompute,SetSplitRowCompute,never (through H19),,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,
TdHeaderPerfTraceEn,SetTdHeaderPerfTraceEn,H17,19,n/a,n/a,n/a,n/a,n/a,n/a,REAL,REAL,REAL,26;28;31;36,addr=0x20bbb9dc4
TextureBackgroundEn,SetTextureBackgroundEn,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99ed0
TextureBackgroundVal,SetTextureBackgroundVal,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99ef0
TextureBypassFilter,SetTextureBypassFilter,H19,24,n/a,n/a,n/a,STUB,STUB,STUB,STUB,STUB,REAL,10;26;28;31;36,addr=0x20bba004c
